,ticker,datePurchased,quantity,costBasis,totalCost,date,stockclosevalue,tickername_x,splitdate,stocksplits,tickername_y,nextsplitdate,cumQuantity
964,T,2021-08-23,0.0,0.0,0.0,2021-08-23,20.785497665405273,T,,,,2022-04-10,0.0
965,T,2021-08-24,0.0,0.0,0.0,2021-08-24,20.732627868652344,T,,,,2022-04-10,0.0
966,T,2021-08-25,0.0,0.0,0.0,2021-08-25,20.7175235748291,T,,,,2022-04-10,0.0
967,T,2021-08-26,0.0,0.0,0.0,2021-08-26,20.407854080200195,T,,,,2022-04-10,0.0
968,T,2021-08-27,0.0,0.0,0.0,2021-08-27,20.490936279296875,T,,,,2022-04-10,0.0
969,T,2021-08-28,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
970,T,2021-08-29,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
971,T,2021-08-30,0.0,0.0,0.0,2021-08-30,20.566465377807617,T,,,,2022-04-10,0.0
972,T,2021-08-31,0.0,0.0,0.0,2021-08-31,20.709970474243164,T,,,,2022-04-10,0.0
973,T,2021-09-01,0.0,0.0,0.0,2021-09-01,20.5362548828125,T,,,,2022-04-10,0.0
974,T,2021-09-02,0.0,0.0,0.0,2021-09-02,20.87613296508789,T,,,,2022-04-10,0.0
975,T,2021-09-03,0.0,0.0,0.0,2021-09-03,20.815710067749023,T,,,,2022-04-10,0.0
976,T,2021-09-04,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
977,T,2021-09-05,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
978,T,2021-09-06,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
979,T,2021-09-07,0.0,0.0,0.0,2021-09-07,20.709970474243164,T,,,,2022-04-10,0.0
980,T,2021-09-08,0.0,0.0,0.0,2021-09-08,20.84592056274414,T,,,,2022-04-10,0.0
981,T,2021-09-09,0.0,0.0,0.0,2021-09-09,20.709970474243164,T,,,,2022-04-10,0.0
982,T,2021-09-10,0.0,0.0,0.0,2021-09-10,20.528701782226562,T,,,,2022-04-10,0.0
983,T,2021-09-11,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
984,T,2021-09-12,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
985,T,2021-09-13,0.0,0.0,0.0,2021-09-13,20.785497665405273,T,,,,2022-04-10,0.0
